category,example
Groceries,Safeway grocery
Groceries,Trader Joe's
Groceries,Walmart essentials
Groceries,Apna Bazaar
Groceries,Whole Foods vegetables
Groceries,TJ's snacks
Groceries,Kroger supplies
Eating Out,Pizza at Domino's
Eating Out,McDonald's lunch
Eating Out,Dinner at Olive Garden
Eating Out,Starbucks coffee
Eating Out,Lunch at Chipotle
Eating Out,Breakfast at IHOP
Alcohol,Wine night
Alcohol,Beer from Safeway
Alcohol,Liquor store purchase
Alcohol,Whiskey for party
Alcohol,Chambong shots
Shopping,Amazon order
Shopping,Target haul
Shopping,Costco shopping
Shopping,Myntra clothes
Shopping,H&M jeans
Shopping,Zara purchase
Shopping,Concert ticket
Shopping,Spotify plan
Rent,Monthly Rent May
Rent,Rent payment April
Rent,Room rent
Rent,Lease deposit
Rent,Rent + utilities
Utilities,Electricity bill
Utilities,Internet - Xfinity
Utilities,Water bill
Utilities,Mobile plan September
Utilities,Elec: April 1-May 8
Utilities,Gas charges
Utilities,Nov Dec electricity
Utilities,Mint mobile plan
Travel,Flight to Mumbai
Travel,Bus Madgaon to Thivim
Travel,Airbnb Goa
Travel,Trip to Portland
Travel,Train to LA
Travel,Hotel booking
Travel,Uber to airport
Travel,Lyft ride downtown
Travel,Bus to Fremont
Travel,Parking Sinquerim
Travel,Train ticket Seattle
Travel,Avis car rental
Other,CVS pharmacy meds
Other,Therapist session
Other,Dental cleaning
Other,Emergency visit
Other,Doctor appointment
Other,Netflix subscription
Other,Movie night
Other,Amusement park ticket
Other,Bowling with friends
